Matching_area,sum_COUNTHU10,sum_TOTPOP10,sum_P_WRKAGE,sum_AUTOOWN0,sum_PCT_AO0,sum_AUTOOWN1,sum_PCT_AO1,sum_AUTOOWN2P,sum_PCT_AO2P,sum_WORKERS,sum_R_LOWWAGEW,sum_R_MEDWAGEW,sum_R_HIWAGEWK,sum_R_PCTLOWWA,sum_EMPTOT,sum_E5_RET10,sum_E5_OFF10,sum_E5_IND10,sum_E5_SVC10,sum_E5_ENT10,sum_E8_RET10,sum_E8_OFF10,sum_E8_IND10,sum_E8_SVC10,sum_E8_ENT10,sum_E8_ED10,sum_E8_HLTH10,sum_E8_PUB10,sum_E_FEDT10,sum_E_FEDRET10,sum_E_FEDOFF10,sum_E_FEDIND10,sum_E_FEDSVC10,sum_E_FEDENT10,sum_E_LOWWAGEW,sum_E_MEDWAGEW,sum_E_HIWAGEWK,sum_E_PCTLOWWA,sum_AC_TOT,sum_AC_WATER,sum_AC_LAND,sum_AC_UNPR,sum_D1A,sum_D1B,sum_D1C,sum_D1C5_Ret10,sum_D1C5_Off10,sum_D1C5_Ind10,sum_D1C5_Svc10,sum_D1C5_Ent10,sum_D1C8_Ret10,sum_D1C8_Off10,sum_D1C8_Ind10,sum_D1C8_Svc10,sum_D1C8_Ent10,sum_D1C8_Ed10,sum_D1C8_Hlth1,sum_D1C8_Pub10,sum_D1D,sum_D1_flag,sum_D2A_JPHH,sum_D2B_E5MIX,sum_D2B_E5MIXA,sum_D2B_E8MIX,sum_D2B_E8MIXA,sum_D2A_EPHHM,sum_D2C_TRPMX1,sum_D2C_TRPMX2,sum_D2C_TRIPEQ,sum_D2R_JOBPOP,sum_D2R_WRKEMP,sum_D2A_WRKEMP,sum_D2C_WREMIX,sum_D3a,sum_D3aao,sum_D3amm,sum_D3apo,sum_D3b,sum_D3bao,sum_D3bmm3,sum_D3bmm4,sum_D3bpo3,sum_D3bpo4,sum_D4a,sum_D4b025,sum_D4b050,sum_D4c,sum_D4d,sum_D5ar,sum_D5ae,sum_D5br,sum_D5br_Flag,sum_D5be,sum_D5be_Flag,sum_D5cr,sum_D5cri,sum_D5ce,sum_D5cei,sum_D5dr,sum_D5dri,sum_D5de,sum_D5dei,sum_Shape_Leng,sum_Shape_Area,mean_COUNTHU10,mean_TOTPOP10,mean_P_WRKAGE,mean_AUTOOWN0,mean_PCT_AO0,mean_AUTOOWN1,mean_PCT_AO1,mean_AUTOOWN2P,mean_PCT_AO2P,mean_WORKERS,mean_R_LOWWAGEW,mean_R_MEDWAGEW,mean_R_HIWAGEWK,mean_R_PCTLOWWA,mean_EMPTOT,mean_E5_RET10,mean_E5_OFF10,mean_E5_IND10,mean_E5_SVC10,mean_E5_ENT10,mean_E8_RET10,mean_E8_OFF10,mean_E8_IND10,mean_E8_SVC10,mean_E8_ENT10,mean_E8_ED10,mean_E8_HLTH10,mean_E8_PUB10,mean_E_FEDT10,mean_E_FEDRET10,mean_E_FEDOFF10,mean_E_FEDIND10,mean_E_FEDSVC10,mean_E_FEDENT10,mean_E_LOWWAGEW,mean_E_MEDWAGEW,mean_E_HIWAGEWK,mean_E_PCTLOWWA,mean_AC_TOT,mean_AC_WATER,mean_AC_LAND,mean_AC_UNPR,mean_D1A,mean_D1B,mean_D1C,mean_D1C5_Ret10,mean_D1C5_Off10,mean_D1C5_Ind10,mean_D1C5_Svc10,mean_D1C5_Ent10,mean_D1C8_Ret10,mean_D1C8_Off10,mean_D1C8_Ind10,mean_D1C8_Svc10,mean_D1C8_Ent10,mean_D1C8_Ed10,mean_D1C8_Hlth1,mean_D1C8_Pub10,mean_D1D,mean_D1_flag,mean_D2A_JPHH,mean_D2B_E5MIX,mean_D2B_E5MIXA,mean_D2B_E8MIX,mean_D2B_E8MIXA,mean_D2A_EPHHM,mean_D2C_TRPMX1,mean_D2C_TRPMX2,mean_D2C_TRIPEQ,mean_D2R_JOBPOP,mean_D2R_WRKEMP,mean_D2A_WRKEMP,mean_D2C_WREMIX,mean_D3a,mean_D3aao,mean_D3amm,mean_D3apo,mean_D3b,mean_D3bao,mean_D3bmm3,mean_D3bmm4,mean_D3bpo3,mean_D3bpo4,mean_D4a,mean_D4b025,mean_D4b050,mean_D4c,mean_D4d,mean_D5ar,mean_D5ae,mean_D5br,mean_D5br_Flag,mean_D5be,mean_D5be_Flag,mean_D5cr,mean_D5cri,mean_D5ce,mean_D5cei,mean_D5dr,mean_D5dri,mean_D5de,mean_D5dei,mean_Shape_Leng,mean_Shape_Area
68,17985,29374,20.89391,14823,19.01177,2983,3.79484,150,0.19312,14267,2573,2983,8711,4.18422,41000,3579,10668,5029,17701,4023,3579,10630,5029,11432,4023,2151,4118,38,0,0,0,0,0,0,7577,11074,22349,5.55,257.354534,0,257.3168263,251.84182,2284.18193,3618.710101,2329.378891,175.7090506,618.7940075,233.0815548,695.2454427,330.3663612,175.7090506,616.5011427,233.0815548,695.2454427,695.2454427,96.09927396,180.0832003,2.292864769,4613.560821,0,42.781216,15.652659,15.29698,15.139759,13.723834,11.928137,12.372692,13.428092,11.062993,6.956075,11.201629,88.033836,7.532462,674.6465,245.0790491,13.6216414,415.9457985,642.0188,452.7884307,14.81,58.5444593,859.964768,0,-384013.6711,15.10011242,23.00000003,3991,233409.9691,29869129.51,31582604.43,7173476.87,0,3073402.33,11,0.004641,19.64,0.23,20.62,0.010830395,13.3,0.007803955,3.8,27313.40096,1816261.633,781.9565217,1277.130435,0.90843087,644.4782609,0.826598696,129.6956522,0.164993043,6.52173913,0.008396522,620.3043478,111.8695652,129.6956522,378.7391304,0.181922609,1782.608696,155.6086957,463.826087,218.6521739,769.6086957,174.9130435,155.6086957,462.173913,218.6521739,497.0434783,174.9130435,93.52173913,179.0434783,1.652173913,0,0,0,0,0,0,329.4347826,481.4782609,971.6956522,0.241304348,11.18932757,0,11.1876881,10.94964435,99.31225781,157.3352218,101.2773431,7.639523937,26.90408728,10.13398065,30.22806273,14.36375483,7.639523937,26.80439751,10.13398065,30.22806273,30.22806273,4.178229303,7.829704362,0.099689773,200.5896009,0,1.86005287,0.680550391,0.665086087,0.658250391,0.596688435,0.518614652,0.53794313,0.583830087,0.480999696,0.302438043,0.487027348,3.827558087,0.327498348,29.33245652,10.65561083,0.592245278,18.08459993,27.91386087,19.68645351,0.643913043,2.545411274,37.38977252,0,-16696.24657,0.656526627,1.000000001,173.5217391,10148.25952,1298657.805,1373156.714,311890.2987,0,133626.1883,0.47826087,0.000201783,0.853913043,0.01,0.896521739,0.000470887,0.57826087,0.000339302,0.165217391,1187.539172,78967.8971
74,24337,58019,29.45334,19308,29.58576,4294,7.10002,690,1.31376,18784,4720,7343,6721,10.13472,14219,1145,572,1080,10069,1353,1145,556,1080,972,1353,577,8520,16,0,0,0,0,0,0,3876,5590,4753,10.95,573.966989,9.49,564.43759,524.5994777,2167.90259,5276.675897,1158.266459,75.86582592,48.79001707,74.47390257,82.07172053,118.8055854,75.82559069,47.26649704,74.47390257,82.07172053,82.07172053,45.62536397,712.6340435,1.523520028,3326.169049,1,37.941578,15.376604,14.336102,16.978188,14.666654,13.163968,15.105976,16.164267,11.770282,6.802123,14.177838,844.346175,8.236541,1229.20199,303.0521138,113.774414,812.3754933,2868.5043,431.2718424,16.09922813,606.724973,1630.057206,1163.793485,20327.61745,22.22766151,36.5085829,2269,127329.8477,33271183.9,53393009.61,6107038.8,4,3532813.37,16,0.005162,21.83,0.39,34.89,0.009220305,11.17,0.008970487,4.3,54090.39196,4057376.337,624.025641,1487.666667,0.755213846,495.0769231,0.758609231,110.1025641,0.182051795,17.69230769,0.033686154,481.6410256,121.025641,188.2820513,172.3333333,0.259864615,364.5897436,29.35897436,14.66666667,27.69230769,258.1794872,34.69230769,29.35897436,14.25641026,27.69230769,24.92307692,34.69230769,14.79487179,218.4615385,0.41025641,0,0,0,0,0,0,99.38461538,143.3333333,121.8717949,0.280769231,14.71710228,0.243333333,14.47275872,13.45126866,55.58724591,135.299382,29.69913997,1.945277588,1.251026079,1.909587245,2.104403091,3.046297062,1.944245915,1.211961463,1.909587245,2.104403091,2.104403091,1.169881127,18.27266778,0.039064616,85.28638588,0.025641026,0.972860974,0.394271897,0.367592359,0.435338154,0.376068051,0.337537641,0.387332718,0.414468385,0.301802103,0.17441341,0.363534308,21.64990192,0.211193359,31.51799974,7.770567021,2.917292667,20.83014085,73.55139231,11.05825237,0.412800721,15.55705059,41.79633862,29.84085858,521.2209602,0.569940039,0.93611751,58.17948718,3264.867889,853107.2794,1369051.528,156590.7385,0.102564103,90584.95821,0.41025641,0.000132359,0.55974359,0.01,0.894615385,0.000236418,0.286410256,0.000230012,0.11025641,1386.933127,104035.2907
75,24391,57902,29.15378,19383,29.6123,4242,6.2232,719,1.16402,20974,4667,7182,9125,8.452,25663,698,1186,190,22683,906,698,1143,190,954,906,4777,16952,43,0,0,0,0,0,0,3316,8322,14025,10.7,389.4517385,4.3,385.0938961,384.94899,2718.781624,6433.467261,1735.404674,84.29325912,129.965614,23.31766464,98.31280155,119.7603166,84.29325912,126.9210056,23.31766464,98.31280155,98.31280155,233.6836626,1046.071355,3.044608323,4454.186298,0,37.1188,15.752166,14.50954,18.157801,16.037965,13.728009,15.846346,17.037352,13.369764,5.894548,14.701075,556.656582,8.164368,1020.77659,115.0738948,144.9957213,760.7069028,2295.1685,104.6922788,259.8263822,666.206055,531.5870416,1101.089314,17169.72605,23.56599195,36.18831498,1371,99596.688,33105902.42,47859291.4,6521833.87,2,3572342.6,19,0.005135,21.7,0.37,31.26,0.009846555,12.01,0.00907086,4.38,42698.65802,2751922.779,659.2162162,1564.918919,0.78794,523.8648649,0.800332432,114.6486486,0.168194595,19.43243243,0.03146,566.8648649,126.1351351,194.1081081,246.6216216,0.228432432,693.5945946,18.86486486,32.05405405,5.135135135,613.0540541,24.48648649,18.86486486,30.89189189,5.135135135,25.78378378,24.48648649,129.1081081,458.1621622,1.162162162,0,0,0,0,0,0,89.62162162,224.9189189,379.0540541,0.289189189,10.52572266,0.116216216,10.40794314,10.40402676,73.48058443,173.8774935,46.90282902,2.278196193,3.512584161,0.630207152,2.657102745,3.236765312,2.278196193,3.43029745,0.630207152,2.657102745,2.657102745,6.315774665,28.27219879,0.082286711,120.3834134,0,1.003210811,0.425734216,0.39214973,0.490751378,0.433458514,0.37102727,0.428279622,0.460468973,0.361344973,0.159312108,0.397326351,15.04477249,0.220658595,27.58855649,3.110105265,3.918803277,20.55964602,62.03158108,2.829521048,7.022334653,18.00556905,14.36721734,29.75917065,464.0466499,0.636918701,0.978062567,37.05405405,2691.802378,894754.1195,1293494.362,176265.7803,0.054054054,96549.8,0.513513514,0.000138784,0.586486486,0.01,0.844864865,0.000266123,0.324594595,0.000245158,0.118378378,1154.017784,74376.29131
79,24653,44136,28.28574,21617,26.35173,2857,3.46678,145,0.18114,20404,4036,4148,12220,5.96154,22932,2603,1690,592,12249,5798,2603,1670,592,1752,5798,476,10021,20,0,0,0,0,0,0,5309,7479,10144,10.38,250.0547949,0,250.0112369,237.44485,3223.889849,5707.474226,2769.632349,302.6874689,218.7679131,68.97261994,259.7856619,731.8774429,302.6874689,216.033007,68.97261994,259.7856619,259.7856619,66.20122021,1121.340022,2.734906091,5993.522198,0,25.242569,21.674885,21.278728,20.866641,18.517746,16.516876,18.191164,19.902676,18.984477,7.358404,20.085627,61.675448,14.124724,867.8296,57.06534365,104.8010943,705.9631299,2690.5057,25.35,275.1509763,521.7767262,1077.311972,1266.637494,15455.29679,21.10275812,30.00000002,1391.333333,116532.5058,36766349.7,41181363.01,9077639.37,27,3559666.01,19,0.005712,24.2,0.3,26.91,0.013705267,16.81,0.009038671,4.41,30551.54098,1763593.462,821.7666667,1471.2,0.942858,720.5666667,0.878391,95.23333333,0.115559333,4.833333333,0.006038,680.1333333,134.5333333,138.2666667,407.3333333,0.198718,764.4,86.76666667,56.33333333,19.73333333,408.3,193.2666667,86.76666667,55.66666667,19.73333333,58.4,193.2666667,15.86666667,334.0333333,0.666666667,0,0,0,0,0,0,176.9666667,249.3,338.1333333,0.346,8.335159829,0,8.333707895,7.914828333,107.462995,190.2491409,92.32107829,10.0895823,7.29226377,2.299087331,8.659522065,24.39591476,10.0895823,7.201100233,2.299087331,8.659522065,8.659522065,2.20670734,37.37800073,0.091163536,199.7840733,0,0.841418967,0.722496167,0.709290933,0.6955547,0.6172582,0.550562533,0.606372133,0.663422533,0.6328159,0.245280133,0.6695209,2.055848267,0.470824133,28.92765333,1.902178122,3.493369811,23.53210433,89.68352333,0.845,9.171699209,17.39255754,35.91039907,42.22124979,515.1765595,0.703425271,1.000000001,46.37777778,3884.41686,1225544.99,1372712.1,302587.979,0.9,118655.5337,0.633333333,0.0001904,0.806666667,0.01,0.897,0.000456842,0.560333333,0.000301289,0.147,1018.384699,58786.44872
87,9216,15585,2.82215,7936,2.55805,859,0.2963,416,0.1456,7320,708,831,5781,0.30146,87232,1332,48871,2665,31815,2549,1332,46104,2665,26384,2549,365,5066,2767,439,0,110,0,0,329,9295,16119,61818,0.39,102.0627417,6.09,95.97110077,95.438,277.8801768,502.7413582,2221.976029,53.63760962,1135.040893,96.68572247,720.2889158,82.22194874,53.63760962,1075.92026,96.68572247,720.2889158,720.2889158,12.26695098,121.833988,59.12063332,2499.856206,0,24.090812,2.075605,2.075605,1.978363,1.978363,2.229634,1.751073,1.897205,1.229169,2.166106,0.75041,0.451839,1.288412,128.9851,11.19554253,7.065300914,110.7242186,671.803,0,41.39040723,62.70780458,389.0214742,322.0098928,1343.984089,2.973465366,2.999999957,978.6666667,22561.792,3443722.153,3750454.885,1169573.94,0,1565055.47,3,0.000534,2.27,0.03,2.45,0.001765803,2.17,0.003973974,1.98,7818.597801,719477.9164,3072,5195,0.940716667,2645.333333,0.852683333,286.3333333,0.098766667,138.6666667,0.048533333,2440,236,277,1927,0.100486667,29077.33333,444,16290.33333,888.3333333,10605,849.6666667,444,15368,888.3333333,8794.666667,849.6666667,121.6666667,1688.666667,922.3333333,146.3333333,0,36.66666667,0,0,109.6666667,3098.333333,5373,20606,0.13,34.0209139,2.03,31.99036692,31.81266667,92.62672559,167.5804527,740.6586763,17.87920321,378.3469644,32.22857416,240.0963053,27.40731625,17.87920321,358.6400866,32.22857416,240.0963053,240.0963053,4.088983659,40.61132934,19.70687777,833.2854019,0,8.030270667,0.691868333,0.691868333,0.659454333,0.659454333,0.743211333,0.583691,0.632401667,0.409723,0.722035333,0.250136667,0.150613,0.429470667,42.99503333,3.731847509,2.355100305,36.90807285,223.9343333,0,13.79680241,20.90260153,129.6738247,107.3366309,447.9946963,0.991155122,0.999999986,326.2222222,7520.597333,1147907.384,1250151.628,389857.98,0,521685.1567,1,0.000178,0.756666667,0.01,0.816666667,0.000588601,0.723333333,0.001324658,0.66,2606.199267,239825.9721
88,1098,731,0.91928,736,0.67099,280,0.25541,80,0.07359,676,106,133,437,0.1568,40117,646,20981,1692,15409,1389,646,18464,1692,12101,1389,391,2917,2517,197,0,197,0,0,0,4834,7738,27545,0.12,68.47,7.95,60.51,59.7698,18.37047139,12.23025008,671.1914397,10.80812798,351.0299274,28.30859526,202.4599948,23.23914823,10.80812798,308.9183823,28.30859526,202.4599948,202.4599948,6.54176167,48.80388438,42.11154507,689.5619111,0,36.53643,0.635614,0.635614,0.694693,0.694693,0.624299,0.475946,0.512419,0.375141,0.082312,0.032976,0.016851,0.374131,47.6721,7.705845448,5.125914813,34.84037905,195.704,21.14864191,34.36512867,7.932155153,132.198814,76.67372798,644.805641,1.000000008,1.000000007,260.6666667,2757.013333,1117922.931,1211108.483,341423.75,0,128022.61,1,0.000174,0.73,0.01,0.79,0.000515476,0.63,0.000325074,0.16,4415.145054,482601.3346,1098,731,0.91928,736,0.67099,280,0.25541,80,0.07359,676,106,133,437,0.1568,40117,646,20981,1692,15409,1389,646,18464,1692,12101,1389,391,2917,2517,197,0,197,0,0,0,4834,7738,27545,0.12,68.47,7.95,60.51,59.7698,18.37047139,12.23025008,671.1914397,10.80812798,351.0299274,28.30859526,202.4599948,23.23914823,10.80812798,308.9183823,28.30859526,202.4599948,202.4599948,6.54176167,48.80388438,42.11154507,689.5619111,0,36.53643,0.635614,0.635614,0.694693,0.694693,0.624299,0.475946,0.512419,0.375141,0.082312,0.032976,0.016851,0.374131,47.6721,7.705845448,5.125914813,34.84037905,195.704,21.14864191,34.36512867,7.932155153,132.198814,76.67372798,644.805641,1.000000008,1.000000007,260.6666667,2757.013333,1117922.931,1211108.483,341423.75,0,128022.61,1,0.000174,0.73,0.01,0.79,0.000515476,0.63,0.000325074,0.16,4415.145054,482601.3346
90,14016,20689,13.86998,11641,12.6937,2217,2.1295,139,0.17662,11102,1704,1648,7750,2.27716,26118,2921,7106,2518,10385,3188,2921,7092,2518,6927,3188,903,2555,14,0,0,0,0,0,0,7447,7652,11019,4.55,128.2238273,0,128.2080045,128.20807,1842.127506,2667.262634,2225.289093,279.2544733,444.3185047,188.999716,550.8427072,389.3711449,279.2544733,443.1543982,188.999716,550.8427072,550.8427072,70.93969293,301.5628543,1.164106471,4067.416599,0,22.262036,11.159216,11.159216,10.815149,10.273954,9.614191,9.538159,10.426787,8.847111,6.777969,8.58969,24.658184,6.815719,367.52702,90.92370029,0,276.6032843,0,0,0,0,0,0,7536.284517,15.00000017,14.99999993,2722.333333,248533.5253,19704080.39,20466984.06,6154517.06,0,2721582.56,14,0.00306,12.96,0.15,13.35,0.009291986,11.44,0.006910617,3.4,15857.70364,904734.4503,934.4,1379.266667,0.924665333,776.0666667,0.846246667,147.8,0.141966667,9.266666667,0.011774667,740.1333333,113.6,109.8666667,516.6666667,0.151810667,1741.2,194.7333333,473.7333333,167.8666667,692.3333333,212.5333333,194.7333333,472.8,167.8666667,461.8,212.5333333,60.2,170.3333333,0.933333333,0,0,0,0,0,0,496.4666667,510.1333333,734.6,0.303333333,8.548255154,0,8.547200298,8.547204667,122.8085004,177.8175089,148.3526062,18.61696488,29.62123364,12.59998106,36.72284715,25.95807633,18.61696488,29.54362655,12.59998106,36.72284715,36.72284715,4.729312862,20.10419029,0.077607098,271.1611066,0,1.484135733,0.743947733,0.743947733,0.721009933,0.684930267,0.640946067,0.635877267,0.695119133,0.5898074,0.4518646,0.572646,1.643878933,0.454381267,24.50180133,6.06158002,0,18.44021896,0,0,0,0,0,0,502.4189678,1.000000012,0.999999995,181.4888889,16568.90169,1313605.359,1364465.604,410301.1373,0,181438.8373,0.933333333,0.000204,0.864,0.01,0.89,0.000619466,0.762666667,0.000460708,0.226666667,1057.180242,60315.63002
100,243,300,1.93442,125,1.05304,116,0.94695,0,0,1019,222,244,553,0.42961,83889,10999,13341,26472,26726,6351,10999,12414,26472,24514,6351,781,1431,927,0,0,0,0,0,0,16467,22039,45383,0.38,86.83470505,0,86.83197021,86.832,5.596891553,6.909502844,1932.151787,253.2981342,307.2728804,609.7357976,564.6102088,146.2902623,253.2981342,285.9168978,609.7357976,564.6102088,564.6102088,17.98597263,32.95853095,21.35598267,1937.748678,0,688.10299,1.802664,1.802664,1.532189,1.532189,1.636698,1.260343,1.24963,0.737146,0.033012,0.048025,0.02443,0.744802,59.2016,18.46063635,0,40.74099701,23.33631,14.73092714,0,0,18.42023163,11.05,1223.629693,1.99999997,1.999999972,2729,40228.18133,2874070.435,2845121.773,907465.82,1,307261.11,0,0.000446,1.9,0.02,1.86,0.001370077,1.68,0.000780195,0.38,4592.107278,612964.8378,121.5,150,0.96721,62.5,0.52652,58,0.473475,0,0,509.5,111,122,276.5,0.214805,41944.5,5499.5,6670.5,13236,13363,3175.5,5499.5,6207,13236,12257,3175.5,390.5,715.5,463.5,0,0,0,0,0,0,8233.5,11019.5,22691.5,0.19,43.41735252,0,43.41598511,43.416,2.798445777,3.454751422,966.0758934,126.6490671,153.6364402,304.8678988,282.3051044,73.14513113,126.6490671,142.9584489,304.8678988,282.3051044,282.3051044,8.992986314,16.47926548,10.67799133,968.8743392,0,344.051495,0.901332,0.901332,0.7660945,0.7660945,0.818349,0.6301715,0.624815,0.368573,0.016506,0.0240125,0.012215,0.372401,29.6008,9.230318174,0,20.3704985,11.668155,7.365463572,0,0,9.210115814,5.525,611.8148465,0.999999985,0.999999986,1364.5,20114.09067,1437035.218,1422560.886,453732.91,0.5,153630.555,0,0.000223,0.95,0.01,0.93,0.000685038,0.84,0.000390097,0.19,2296.053639,306482.4189
107,17194,27988,21.9553,14268,19.13042,2626,3.54091,273,0.32842,13390,1657,1917,9816,2.87675,32006,1137,7930,7588,11314,4037,1137,5082,7588,8030,4037,1213,2071,2848,1,0,1,0,0,0,5149,7390,19467,6.5,171.7408937,0,171.6834822,163.1611294,2668.398682,4292.257104,4314.456564,168.9158363,1086.391964,1137.011275,918.434735,525.5861591,168.0746566,657.1912662,1137.011275,918.434735,918.434735,170.7212139,307.3953801,429.2006976,6982.855246,1,57.595462,15.106516,14.615232,16.018705,14.745653,13.411541,14.57764,15.65924,15.236902,9.303899,13.470674,32.292581,10.504103,867.3507,90.74573521,38.71482446,737.890025,7559.9942,68.79837409,0,297.4598964,5613.946447,3518.031061,13225.20676,18.70609116,23.99999983,2317,214636.608,31975776.85,33896948.42,8004402.66,14,2809056.63,15,0.004967,21.04,0.24,22.13,0.012084912,14.83,0.007132731,3.46,22566.25283,1211555.986,716.4166667,1166.166667,0.914804167,594.5,0.797100833,109.4166667,0.147537917,11.375,0.013684167,557.9166667,69.04166667,79.875,409,0.119864583,1333.583333,47.375,330.4166667,316.1666667,471.4166667,168.2083333,47.375,211.75,316.1666667,334.5833333,168.2083333,50.54166667,86.29166667,118.6666667,0.041666667,0,0.041666667,0,0,0,214.5416667,307.9166667,811.125,0.270833333,7.155870572,0,7.153478426,6.798380392,111.1832784,178.844046,179.7690235,7.038159847,45.26633183,47.37546981,38.26811396,21.8994233,7.003110693,27.38296943,47.37546981,38.26811396,38.26811396,7.113383911,12.80814084,17.8833624,290.9523019,0.041666667,2.399810917,0.629438167,0.608968,0.667446042,0.614402208,0.558814208,0.607401667,0.652468333,0.634870917,0.387662458,0.561278083,1.345524208,0.437670958,36.1396125,3.7810723,1.613117686,30.74541771,314.9997583,2.86659892,0,12.39416235,233.9144353,146.5846275,551.0502815,0.779420465,0.999999993,96.54166667,8943.192,1332324.035,1412372.851,333516.7775,0.583333333,117044.0263,0.625,0.000206958,0.876666667,0.01,0.922083333,0.000503538,0.617916667,0.000297197,0.144166667,940.2605346,50481.49943
113,12053,19786,13.65349,9463,11.72861,2240,2.83459,330,0.43662,9025,1369,1252,6404,2.30654,18549,2473,3658,600,8549,3269,2473,3641,600,4709,3269,1712,2128,17,0,0,0,0,0,0,4929,5770,7850,3.78,134.6152871,0,134.5938114,134.55064,1520.266097,2384.365807,1799.898388,264.9229676,351.7795921,59.64887152,476.5785011,310.351522,264.9229676,349.6077442,59.64887152,476.5785011,476.5785011,106.2589709,230.3579625,2.17184793,3320.164485,0,21.817289,11.599844,11.393077,11.387581,10.679206,10.003359,9.756981,10.638129,9.25683,6.918231,9.61852,16.812486,8.026251,467.3729,18.38,75.12,373.8729355,1485.0812,0,147.06,426.57,657.3138056,521.9944806,7462.58587,15.00000006,14.99999994,2268.666667,183729.216,19440375.61,20712741.5,5774707.9,2,2301200.97,7,0.003019,12.79,0.15,13.53,0.008718557,10.73,0.005843188,2.85,16172.76264,949619.1299,803.5333333,1319.066667,0.910232667,630.8666667,0.781907333,149.3333333,0.188972667,22,0.029108,601.6666667,91.26666667,83.46666667,426.9333333,0.153769333,1236.6,164.8666667,243.8666667,40,569.9333333,217.9333333,164.8666667,242.7333333,40,313.9333333,217.9333333,114.1333333,141.8666667,1.133333333,0,0,0,0,0,0,328.6,384.6666667,523.3333333,0.252,8.974352472,0,8.972920759,8.970042667,101.3510732,158.9577205,119.9932258,17.66153117,23.45197281,3.976591435,31.77190007,20.69010147,17.66153117,23.30718294,3.976591435,31.77190007,31.77190007,7.083931391,15.3571975,0.144789862,221.344299,0,1.454485933,0.773322933,0.759538467,0.759172067,0.711947067,0.6668906,0.6504654,0.7092086,0.617122,0.4612154,0.641234667,1.1208324,0.5350834,31.15819333,1.225333333,5.008,24.92486236,99.00541333,0,9.804,28.438,43.82092038,34.79963204,497.5057247,1.000000004,0.999999996,151.2444444,12248.6144,1296025.041,1380849.433,384980.5267,0.133333333,153413.398,0.466666667,0.000201267,0.852666667,0.01,0.902,0.000581237,0.715333333,0.000389546,0.19,1078.184176,63307.94199
114,7392,12663,9.18445,5934,7.89716,1303,1.92039,143,0.18234,6148,1032,988,4128,1.68807,18596,1372,1895,643,11809,2877,1372,1873,643,2616,2877,8704,489,22,0,0,0,0,0,0,5473,4647,8476,2.91,108.9989235,0,108.9884386,97.34266,883.7902004,1455.797949,1591.500609,116.9601593,141.9874568,48.14398042,215.5169522,326.6546494,116.9601593,139.9906502,48.14398042,215.5169522,215.5169522,696.7832077,45.45420316,1.99680661,2475.290809,0,28.462842,7.049588,6.842145,6.451401,5.88948,6.068685,5.601671,6.157279,4.322859,4.549078,5.729512,22.605198,5.215188,326.8816,6.89,44.43382863,275.5578457,1389.2427,17.97,18.20238223,324.2706533,713.3888376,576.9998684,4055.491998,9.390529366,9.999999978,1581.666667,109241.6427,12757706.74,13818323.62,3706042.01,8,1424823.65,6,0.00198,8.39,0.1,9.03,0.00559532,6.87,0.003617899,1.77,12521.71076,768801.7267,739.2,1266.3,0.918445,593.4,0.789716,130.3,0.192039,14.3,0.018234,614.8,103.2,98.8,412.8,0.168807,1859.6,137.2,189.5,64.3,1180.9,287.7,137.2,187.3,64.3,261.6,287.7,870.4,48.9,2.2,0,0,0,0,0,0,547.3,464.7,847.6,0.291,10.89989235,0,10.89884386,9.734266,88.37902004,145.5797949,159.1500609,11.69601593,14.19874568,4.814398042,21.55169522,32.66546494,11.69601593,13.99906502,4.814398042,21.55169522,21.55169522,69.67832077,4.545420316,0.199680661,247.5290809,0,2.8462842,0.7049588,0.6842145,0.6451401,0.588948,0.6068685,0.5601671,0.6157279,0.4322859,0.4549078,0.5729512,2.2605198,0.5215188,32.68816,0.689,4.443382863,27.55578457,138.92427,1.797,1.820238223,32.42706533,71.33888376,57.69998684,405.5491998,0.939052937,0.999999998,158.1666667,10924.16427,1275770.674,1381832.362,370604.201,0.8,142482.365,0.6,0.000198,0.839,0.01,0.903,0.000559532,0.687,0.00036179,0.177,1252.171076,76880.17267
