locationID,0,1,2,3,4,5,6,7,8,9,10,11
211,0.37501314,-0.3704376,-0.38890117,-0.39079067,0.37759492,-0.3835876,-0.37274793,0.3490165,-0.3911404,-0.3632841,0.3217141,-0.42467493
224,0.39170006,-0.3435133,-0.4301813,-0.4289279,0.33424208,-0.35417545,-0.33036336,0.37489757,-0.36437374,-0.36200947,0.4167716,-0.37777472
229,0.3361634,-0.31373072,-0.4061796,-0.3267914,0.4163262,-0.35514382,-0.34441677,0.39898664,-0.3356508,-0.39247116,0.4069474,-0.40280548
230,0.40190715,-0.39202076,-0.39708254,-0.40002874,0.3606743,-0.3563023,-0.3450325,0.3499401,-0.35489815,-0.3318368,0.36180192,-0.40811777
231,0.33022094,-0.33310357,-0.37588552,-0.37525827,0.36891067,-0.39985,-0.37827638,0.40859914,-0.35488522,-0.33744228,0.38364848,-0.3680786
232,0.39388,-0.38536903,-0.40368026,-0.38322675,0.38808617,-0.31140977,-0.33841962,0.39411253,-0.38240212,-0.31230187,0.31706423,-0.37621602
233,0.36418444,-0.3383173,-0.38172576,-0.42371514,0.35137728,-0.38439462,-0.35151377,0.4279956,-0.4026681,-0.35697383,0.35827684,-0.3654998
234,0.3770895,-0.3391538,-0.4199646,-0.4047201,0.34915832,-0.4127668,-0.34435964,0.39659607,-0.3739614,-0.3462937,0.3739008,-0.35693875
236,0.35053632,-0.34554827,-0.39107287,-0.37618968,0.39921373,-0.34095532,-0.33424956,0.38636395,-0.37761033,-0.35707754,0.36901522,-0.3395739
237,0.3944874,-0.31545419,-0.37266707,-0.3785938,0.31944934,-0.3763098,-0.33493507,0.38925144,-0.41436335,-0.36380503,0.40932378,-0.41287148
238,0.34000996,-0.350415,-0.34784096,-0.36579233,0.41092637,-0.28235036,-0.36427158,0.4031924,-0.37091285,-0.34248474,0.38672063,-0.36281115
239,0.40739283,-0.33221075,-0.34770593,-0.29992127,0.38529807,-0.39769906,-0.39884588,0.4068312,-0.3612619,-0.3608663,0.31408998,-0.3287138
243,0.3428368,-0.40575618,-0.36782774,-0.3211814,0.40722102,-0.3347861,-0.3911231,0.33239278,-0.36393738,-0.3403883,0.37175965,-0.30621222
244,0.3372189,-0.35210913,-0.3123071,-0.3295687,0.37969512,-0.33355498,-0.3682695,0.36006507,-0.4031522,-0.3651804,0.40192267,-0.33368725
246,0.33542398,-0.34605718,-0.38796148,-0.44236305,0.33105853,-0.40397033,-0.37252286,0.3339122,-0.34664863,-0.38198975,0.37471682,-0.4392639
249,0.3565515,-0.333772,-0.35493526,-0.427295,0.38103193,-0.3589698,-0.40900168,0.36254472,-0.36180937,-0.3545212,0.36368436,-0.40400073
261,0.33550385,-0.32197276,-0.40498957,-0.44428784,0.2995936,-0.40701154,-0.33686492,0.36674017,-0.34785396,-0.37289408,0.39963058,-0.436932
262,0.33940396,-0.31216285,-0.3578173,-0.32043815,0.39179978,-0.35684782,-0.3272092,0.43630767,-0.41966808,-0.38249978,0.3894828,-0.35093135
263,0.3648182,-0.3064983,-0.38336274,-0.38589805,0.37754023,-0.37220287,-0.32918558,0.38613302,-0.31153712,-0.37637514,0.34993252,-0.3790247
