locationID,0,1,2,3,4,5,6,7,8,9,10,11
4,0.40706566,-0.37913674,-0.4057923,-0.32331523,0.38934577,-0.3800291,-0.31806228,0.40977156,-0.40480974,-0.36888996,0.3619861,-0.38549367
12,0.36710674,-0.39317396,-0.3966364,-0.36989775,0.32852215,-0.3927177,-0.3931744,0.31425387,-0.40777415,-0.3534763,0.30954564,-0.41338986
13,0.33127475,-0.36846855,-0.36405703,-0.44355175,0.39915964,-0.42855817,-0.35864657,0.36692572,-0.4012207,-0.32651734,0.36939466,-0.37262025
24,0.41653618,-0.3632944,-0.3793768,-0.38203403,0.38621253,-0.40919042,-0.39210457,0.40404615,-0.31807676,-0.37003973,0.33007866,-0.37383515
41,0.37163147,-0.3787115,-0.4065763,-0.29885328,0.36970735,-0.38444477,-0.36508757,0.40072563,-0.306796,-0.3416363,0.3427011,-0.39503962
42,0.39960927,-0.40447852,-0.30839542,-0.3832044,0.40933713,-0.31346205,-0.38900504,0.30990207,-0.3550907,-0.33609998,0.38203323,-0.2981931
43,0.40451,-0.3891368,-0.33775356,-0.42748123,0.38551828,-0.31479332,-0.39446732,0.308902,-0.4058753,-0.38297784,0.30532485,-0.39619046
45,0.40241122,-0.39441085,-0.3686254,-0.36224523,0.37955782,-0.43705332,-0.31741002,0.41773453,-0.3173826,-0.3921011,0.34028015,-0.35861227
48,0.3768758,-0.32035547,-0.35208064,-0.38898912,0.41272876,-0.40121913,-0.30645287,0.38489595,-0.334803,-0.3850949,0.34012187,-0.3890549
50,0.35727334,-0.37612003,-0.37188414,-0.42335552,0.37693653,-0.3534069,-0.39878985,0.37380078,-0.33657318,-0.35822633,0.4050819,-0.37152106
68,0.33104008,-0.36955374,-0.38810793,-0.4063783,0.39227343,-0.3099122,-0.3843198,0.42646742,-0.31095544,-0.39678252,0.3611307,-0.3805436
74,0.37203303,-0.35504,-0.37517336,-0.3224156,0.3888164,-0.32619894,-0.35378444,0.34254745,-0.37115273,-0.38255027,0.3555889,-0.3784679
75,0.31437787,-0.348686,-0.3869643,-0.36453497,0.37428132,-0.28298202,-0.3525298,0.40168837,-0.36329716,-0.3865794,0.3744855,-0.37543714
79,0.39937586,-0.39831388,-0.39573902,-0.37969327,0.38797727,-0.29796758,-0.31450072,0.33096337,-0.39739895,-0.40263832,0.3481269,-0.31818914
87,0.4110031,-0.34268013,-0.37603,-0.35096234,0.36119384,-0.36875248,-0.3819147,0.39002967,-0.37436357,-0.36739945,0.3718294,-0.36320737
88,0.36228892,-0.3880403,-0.4006148,-0.35872424,0.3642327,-0.40079343,-0.40437743,0.36710715,-0.33179927,-0.40245366,0.36358458,-0.36764407
90,0.39394516,-0.39612228,-0.38583478,-0.34454647,0.36938247,-0.342656,-0.3745448,0.39954734,-0.3851957,-0.3446089,0.3461884,-0.42283475
100,0.33504722,-0.37121335,-0.35505223,-0.40987134,0.32198986,-0.38271466,-0.39750528,0.31560266,-0.39829457,-0.38492897,0.3629351,-0.4273147
107,0.422682,-0.32286596,-0.41572133,-0.37688878,0.3824495,-0.39811552,-0.3899935,0.40782946,-0.36271736,-0.3148908,0.30846947,-0.39021778
113,0.36837167,-0.39752632,-0.37436107,-0.41078386,0.32580936,-0.4286476,-0.34869084,0.35710812,-0.3599365,-0.3919714,0.41572523,-0.36303896
114,0.37405503,-0.3350378,-0.3589315,-0.4177031,0.3317584,-0.36729002,-0.34744486,0.4129605,-0.40680614,-0.35928744,0.3715509,-0.41763005
116,0.36914352,-0.36168268,-0.30564073,-0.35427776,0.36210844,-0.4000697,-0.3691116,0.3434529,-0.39858222,-0.4092995,0.3764843,-0.32768074
